,po_/_so_#,asn/dn_#,country,fulfill_via,vendor_inco_term,sub_classification,unit_of_measure_(per_pack),line_item_quantity,pack_price,unit_price,first_line_designation,freight_cost_(usd),shipment_mode,line_item_insurance_(usd),days_to_process
0,0,0,15,1,0,0,25,98,37.5,1.5,0,180.0,1,5.88,-290
1,0,0,40,1,0,0,90,5291,4.42,0.05,0,5697.64,1,24.04,252
2,0,0,28,0,0,0,60,11584,5.09,0.08,0,8819.61,0,60.61,258
3,0,0,26,0,0,0,120,94,41.1,0.34,0,1058.0,1,6.18,-248
4,0,0,26,0,0,0,60,4124,1.55,0.03,0,7363.74,1,12.53,-133
5,0,0,16,0,0,0,100,504,5.49,0.05,1,3426.68,1,5.42,-10
6,0,0,16,0,0,0,60,18958,8.55,0.14,1,3426.68,1,267.45,240
7,0,0,40,0,0,0,30,97100,8.82,0.29,0,16222.85,0,1846.45,155
8,0,0,9,0,0,0,30,9920,10.92,0.36,1,3426.68,0,233.55,141
9,0,0,24,0,0,0,60,9784,6.52,0.11,0,684.86,0,78.91,503
10,0,0,31,1,0,0,60,45,77.15,1.29,1,0.0,0,4.29,412
11,0,0,16,0,0,0,60,108,1.67,0.03,0,11091.78,1,0.39,68
12,0,0,38,1,0,0,30,42699,11.49,0.38,0,18700.09,1,606.89,156
13,0,0,16,1,0,0,240,705,1.51,0.01,0,3429.78,1,1.09,118
14,0,0,24,1,0,0,100,3000,0.01,0.0,0,0.0,1,0.05,-327
15,0,0,31,1,0,0,30,54245,6.65,0.22,0,10748.74,0,595.2,293
16,0,0,28,0,0,0,240,3000,2.1,0.01,0,7086.88,1,7.79,79
17,0,0,9,0,0,0,240,600,1.95,0.01,0,3545.1,1,2.52,291
18,0,0,31,1,0,0,30,6,17.02,0.57,1,0.0,0,0.13,412
19,0,0,38,1,0,0,60,632,13.0,0.22,0,8334.77,1,11.52,152
20,0,0,12,1,0,0,30,45632,4.62,0.15,0,22271.36,1,216.72,196
21,0,0,16,1,0,0,180,255,16.96,0.09,0,290.0,1,7.14,322
