,pq_#,po_/_so_#,asn/dn_#,country,fulfill_via,vendor_inco_term,sub_classification,unit_of_measure_(per_pack),line_item_quantity,line_item_value,pack_price,unit_price,first_line_designation,freight_cost_(usd),shipment_mode,line_item_insurance_(usd),days_to_process
0,Pre-PQ Process,SCMS-4,ASN-8,Côte d'Ivoire,Direct Drop,EXW,HIV test,30,19,551.0,29.0,0.97,Yes,780.34,Air,47.04,-1095
1,Pre-PQ Process,SCMS-13,ASN-85,Vietnam,Direct Drop,EXW,Pediatric,240,1000,6200.0,6.2,0.03,Yes,4521.5,Air,47.04,-930
2,Pre-PQ Process,SCMS-20,ASN-14,Côte d'Ivoire,Direct Drop,FCA,HIV test,100,500,40000.0,80.0,0.8,Yes,1653.78,Air,47.04,-1009
3,Pre-PQ Process,SCMS-78,ASN-50,Vietnam,Direct Drop,EXW,Adult,60,31920,127360.8,3.99,0.07,Yes,16007.06,Air,47.04,-1004
4,Pre-PQ Process,SCMS-81,ASN-55,Vietnam,Direct Drop,EXW,Adult,60,38000,121600.0,3.2,0.05,Yes,45450.08,Air,47.04,-1025
5,Pre-PQ Process,SCMS-87,ASN-57,Nigeria,Direct Drop,EXW,Pediatric,240,416,2225.6,5.35,0.02,Yes,5920.42,Air,47.04,-977
6,Pre-PQ Process,SCMS-139,ASN-130,Zambia,Direct Drop,DDU,Pediatric,90,135,4374.0,32.4,0.36,Yes,Freight Included in Commodity Cost,Air,47.04,-875
7,Pre-PQ Process,SCMS-140,ASN-94,Tanzania,Direct Drop,EXW,Adult,60,16667,60834.55,3.65,0.06,Yes,6212.41,Air,47.04,-920
8,Pre-PQ Process,SCMS-156,ASN-93,Nigeria,Direct Drop,EXW,Adult,60,273,532.35,1.95,0.03,No,See ASN-93 (ID#:1281),Air,47.04,-907
9,Pre-PQ Process,SCMS-165,ASN-199,Zambia,Direct Drop,CIP,Adult,120,2800,115080.0,41.1,0.34,Yes,Freight Included in Commodity Cost,Air,47.04,-853
10,Pre-PQ Process,SCMS-221,ASN-223,Zambia,Direct Drop,CIP,Adult,120,2800,115080.0,41.1,0.34,Yes,Freight Included in Commodity Cost,Air,47.04,-836
11,Pre-PQ Process,SCMS-226,ASN-137,Zambia,Direct Drop,EXW,HIV test,20,2500,100000.0,40.0,2.0,Yes,13569.49,Air,47.04,-875
12,Pre-PQ Process,SCMS-230,ASN-144,Nigeria,Direct Drop,EXW,HIV test,100,10,850.0,85.0,0.85,Yes,Invoiced Separately,Air,47.04,-873
13,Pre-PQ Process,SCMS-268,ASN-242,Rwanda,Direct Drop,EXW,Adult,60,10000,99800.0,9.98,0.17,Yes,64179.42,Air,47.04,-825
14,Pre-PQ Process,SCMS-274,ASN-162,Haiti,Direct Drop,EXW,HIV test,100,750,60000.0,80.0,0.8,Yes,1760.32,Air,47.04,-865
15,Pre-PQ Process,SCMS-308,ASN-285,Zimbabwe,Direct Drop,CIP,Pediatric,60,579,14764.5,25.5,0.42,Yes,Freight Included in Commodity Cost,Air,47.04,-805
16,Pre-PQ Process,SCMS-354,ASN-608,Nigeria,Direct Drop,CIP,HIV test,100,1500,120000.0,80.0,0.8,Yes,Freight Included in Commodity Cost,Air,192.0,-756
17,Pre-PQ Process,SCMS-488,ASN-299,Rwanda,Direct Drop,EXW,HIV test,30,2000,33000.0,16.5,0.55,Yes,3120.7,Air,47.04,-795
18,Pre-PQ Process,SCMS-555,ASN-409,Tanzania,Direct Drop,CIP,Pediatric,200,712,8964.08,12.59,0.06,Yes,912.96,Air,47.04,-726
19,Pre-PQ Process,SCMS-592,ASN-485,Nigeria,Direct Drop,EXW,HIV test,100,1000,80000.0,80.0,0.8,Yes,2682.47,Air,128.0,-713
20,Pre-PQ Process,SCMS-570,ASN-451,Nigeria,Direct Drop,EXW,HIV test,20,7500,202500.0,27.0,1.35,Yes,15893.71,Air,47.04,-713
21,Pre-PQ Process,SCMS-698,ASN-727,Côte d'Ivoire,Direct Drop,CIP,Pediatric,60,5513,140581.5,25.5,0.42,Yes,Freight Included in Commodity Cost,Air,224.93,-608
22,Pre-PQ Process,SCMS-753,ASN-781,Vietnam,Direct Drop,EXW,Pediatric,240,1000,1920.0,1.92,0.01,Yes,4193.49,Air,3.07,-595
