po_/_so_#,asn/dn_#,country,fulfill_via,vendor_inco_term,sub_classification,unit_of_measure_(per_pack),line_item_quantity,line_item_value,pack_price,unit_price,first_line_designation,freight_cost_(usd),shipment_mode,line_item_insurance_(usd),days_to_process
0,0,15,1,0,0,25,98,3675.0,37.5,1.5,0,180.0,1,5.88,-290
0,0,40,1,0,0,90,5291,23386.22,4.42,0.05,0,5697.64,1,24.04,252
0,0,28,0,0,0,60,11584,58962.56,5.09,0.08,0,8819.61,0,60.61,258
0,0,26,0,0,0,120,94,3863.4,41.1,0.34,0,1058.0,1,6.18,-248
0,0,26,0,0,0,60,4124,6392.2,1.55,0.03,0,7363.74,1,12.53,-133
0,0,16,0,0,0,100,504,2766.96,5.49,0.05,1,3426.68,1,5.42,-10
0,0,16,0,0,0,60,18958,162090.9,8.55,0.14,1,3426.68,1,267.45,240
0,0,40,0,0,0,30,97100,856422.0,8.82,0.29,0,16222.85,0,1846.45,155
0,0,9,0,0,0,30,9920,108326.4,10.92,0.36,1,3426.68,0,233.55,141
0,0,24,0,0,0,60,9784,63791.68,6.52,0.11,0,684.86,0,78.91,503
0,0,31,1,0,0,60,45,3471.61,77.15,1.29,1,0.0,0,4.29,412
0,0,16,0,0,0,60,108,180.36,1.67,0.03,0,11091.78,1,0.39,68
0,0,38,1,0,0,30,42699,490611.51,11.49,0.38,0,18700.09,1,606.89,156
0,0,16,1,0,0,240,705,1064.55,1.51,0.01,0,3429.78,1,1.09,118
0,0,24,1,0,0,100,3000,30.0,0.01,0.0,0,0.0,1,0.05,-327
0,0,31,1,0,0,30,54245,360729.25,6.65,0.22,0,10748.74,0,595.2,293
0,0,28,0,0,0,240,3000,6300.0,2.1,0.01,0,7086.88,1,7.79,79
0,0,9,0,0,0,240,600,1170.0,1.95,0.01,0,3545.1,1,2.52,291
0,0,31,1,0,0,30,6,102.14,17.02,0.57,1,0.0,0,0.13,412
0,0,38,1,0,0,60,632,8216.0,13.0,0.22,0,8334.77,1,11.52,152
0,0,12,1,0,0,30,45632,210819.84,4.62,0.15,0,22271.36,1,216.72,196
0,0,16,1,0,0,180,255,4324.8,16.96,0.09,0,290.0,1,7.14,322
0,0,31,1,0,0,60,200,3136.0,15.68,0.26,1,0.0,0,6.15,57
0,0,38,1,0,0,60,4084,29609.0,7.25,0.12,1,3426.68,1,48.85,156
0,0,35,1,0,0,100,1500,120000.0,80.0,0.8,0,13836.99,1,198.0,192
0,0,10,1,0,0,100,1775,163300.0,92.0,0.92,0,9165.29,1,202.0,319
0,0,37,0,0,0,60,15000,168300.0,11.22,0.19,0,6299.45,1,362.85,46
0,0,16,0,0,0,60,3000,24450.0,8.15,0.14,1,3426.68,1,39.12,-450
0,0,26,0,0,0,60,63,91.98,1.46,0.02,1,3426.68,0,0.18,147
0,0,31,1,0,0,120,3,209.13,69.71,0.58,1,0.0,0,0.21,295
0,0,11,0,0,0,60,14700,22344.0,1.52,0.03,1,3426.68,1,35.75,-636
0,0,37,0,0,0,60,30107,248683.82,8.26,0.14,0,23675.63,0,536.16,184
0,0,38,1,0,0,60,6493,11492.61,1.77,0.03,0,1457.92,1,14.22,155
0,0,16,0,0,0,30,27070,297770.0,11.0,0.37,1,3426.68,1,476.43,-224
0,0,24,1,0,0,100,4800,345600.0,72.0,0.72,0,13093.27,1,677.38,-48
0,0,38,1,0,0,30,63421,272710.3,4.3,0.14,0,13241.08,1,587.96,128
0,0,24,0,0,0,60,17520,171871.2,9.81,0.16,0,3855.94,0,240.96,104
0,0,40,0,0,0,60,149944,539798.4,3.6,0.06,1,3426.68,0,635.34,196
0,0,15,0,0,0,60,1652,11167.52,6.76,0.11,1,3426.68,1,15.66,55
0,0,39,0,0,0,20,3500,112000.0,32.0,1.6,0,9437.24,1,47.04,-760
0,0,31,1,0,0,60,25000,210500.0,8.42,0.14,0,3790.0,0,347.32,176
0,0,40,0,0,0,60,166571,599655.6,3.6,0.06,1,3426.68,0,705.79,277
0,0,16,1,0,0,30,54090,567945.0,10.5,0.35,0,7992.56,0,702.55,176
0,0,38,1,0,0,30,4872,36540.0,7.5,0.25,1,3426.68,1,71.62,153
0,0,40,0,0,0,30,6000,97500.0,16.25,0.54,0,1956.93,1,47.04,-743
0,0,38,1,0,0,30,8640,90720.0,10.5,0.35,1,3426.68,1,93.26,210
